title,company,location,salary_min,salary_max,description,date_collected
GBS Senior Quality Analyst I (Data Team),RX Global,"Chennai, Tamil Nadu",,,"This job is with RX Global, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About Team: RX Global aims to create unforgettable experiences for attendees and exhibitors through organizing events. Innovation, creativity, and collaboration drive the company to offer exceptional services to clients. About the role: A skilled quality analyst contributes to the testing and quality engineering i…",2026-08-10
Case Processing Associate,Aptita,"Mumbai, Maharashtra",,,"Position: SPE/SME: Data Analyst- Case Processing Associate Location: Target Location - Mumbai, Pune, Hyderabad and Bangalore. All are work from OFFICE positions. PE: Book-in, full data entry, narrative writing/I-Narrative, medical coding, product coding, self-check of online QC tool, un-blinding (if required), case routing, case lock/closure where applicable, and labeling including USPI labeling .Graduate/Postgraduate/Doctorate degree in Life sciences/Pharmacy/Medical sciences or equivalent deg…",2026-08-10
Data Analyst,Inficore Soft,India,264000.0,276000.0,"Data Analyst (Full-Time) Company: Inficore Soft Job Title: Data Analyst Location: India Employment Type: Full-Time Salary: ₹22,000 per month About Inficore Soft Inficore Soft is a technology-driven company focused on delivering innovative software and digital solutions. We are looking for a detail-oriented Data Analyst who can transform raw data into meaningful insights to support business growth and strategic decision-making. Key Responsibilities * Collect, clean, and validate data from multip…",2026-08-10
Data Analyst,,"Thiruvananthapuram, Kerala",,,Immediate requirement for the post of Data Analyst on rotation Shift (Male or Female). Persons only willing to work in both shifts need to apply.careers.coretechgmail.comorplease contact 9.4.nine.6.8.1.5.6.3.0,2026-08-10
Data Analyst,VDart Software Services Pvt. Ltd.,"Richmond Town, Bangalore",,,"Job Title: Data Analyst Experience: 8 Years Work Mode: Hybrid Job Description We are looking for an experienced Data Analyst with strong SQL expertise, analytical thinking, and a passion for transforming data into meaningful business insights. The ideal candidate should be capable of analyzing large datasets, identifying trends, and delivering actionable recommendations to support business decision-making. Key Responsibilities Analyze large and complex datasets to identify trends, patterns, and…",2026-08-10
Data Analyst,SkySun,India,,,"Role Overview We are looking for a Data Analyst with strong expertise in Microsoft Excel who can efficiently work with large datasets, formulas, and analytical models. The ideal candidate should be able to transform raw data into meaningful insights , build efficient spreadsheets, and support business decisions through structured analysis and reporting. This role requires someone who is highly detail-oriented, analytical, and extremely efficient in Excel-based data handling. Key Responsibilitie…",2026-08-10
Data Analyst,LRN Corporation,India,,,"Position: Data Analyst Location: Mumbai, India About LRN: LRN is the world’s leading dedicated ethics and compliance SaaS company, helping more than 30 million people every year navigate complex regional and global regulatory environments and build ethical, responsible cultures. With over 3,000 clients across the US, EMEA, APAC, and Latin America—including some of the world’s most respected and successful brands—we’re proud to be the long-term partner trusted to reduce organizational risk and d…",2026-08-10
Data Analyst,Tekwissen India,India,18000.0,1800000.0,"Overview : TekWissen is a global workforce management provider throughout India and many other countries in the world. The job opportunity described below is for one of our clients, whhas developed a core competence in creating and deploying cost-effective capabilities using an offshore-centric business model. Position: Data Analyst Location: Vadodara/Hyderabad Job Type: Full Time Work Type: Onsite Job Description: We are seeking an experienced Senior Data Quality Analyst tjoin our Enterprise D…",2026-08-10
Data Analyst,Weekday AI,India,,,"This role is for one of the Weekday's clients Salary range: Rs 500000 - Rs 2500000 (ie INR 5- 25 LPA) Min Experience: 5 years Location: Hyderabad, TS, India JobType: full-time We are seeking an experienced Data Analyst with 5–13 years of professional experience and strong expertise in Collibra Data Governance Center (DGC) to join our growing data and analytics team. The ideal candidate will play a critical role in enabling enterprise-wide data governance, improving data quality, and ensuring co…",2026-08-10
Data Analyst,Sia,"Mumbai, Maharashtra",,,"Job Description We are hiring a Power BI Developer to support our global internal teams (Finance, HR, Strategy, Corporate Functions) by delivering high-impact business intelligence dashboards, datasets, and analytics solutions. This role is critical for strengthening our internal reporting systems and driving data-backed decision-making across the organization. Key Responsibilities Design, maintain, and enhance internal Power BI dashboards and analytics for Corporate Finance and other functions…",2026-08-10
Data Analyst,Digital Twin,"Pune, Maharashtra",,,"Job Summary - Data Analyst We are looking to hire a data analyst to join our enterprise customer solutions team. As a Data Analyst, one will take responsibility for developing reports, and troubleshooting data issues. To do well in this role you need attention to detail, past experience as a data analyst, and a deep understanding of the popular data analysis tools and databases. Data Analyst Responsibilities: ● Commissioning and decommissioning of data sets. ● Processing confidential data and i…",2026-08-10
Data Analyst,SveltetechTechnologies Pvt Ltd,"Delhi, India",0.0,300000.0,"Data Analyst Job Duties Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements. Responsibilities Interpret data, analyze results using statistical techniques and provide ongoing reports Develop and implement databases, data collection systems, data analytics and other strategies tha…",2026-08-10
Data Analyst,Qrata,"Delhi, India",1000000.0,1200000.0,"Job Title: Data Analyst Job Brief: The successful candidate will turn data into information, information into insight and insight into business decisions. Data Analyst Job Duties Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements. About Us We began in 2015 with an entrepreneuria…",2026-08-10
Data Analyst,Amicus Therapeutics,"Bangalore, Karnataka",,,"Position Description Data Analyst Location: Remote/Bangalore Amicus Therapeutics is a global, patient-dedicated biotechnology company focused on discovering, developing and delivering high-quality medicines for people living with rare metabolic diseases. Position Summary Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and qua…",2026-08-10
Data Analyst,Amicus India,"Bangalore, Karnataka",,,"Data Analyst Location: Remote/Bangalore Amicus Therapeutics is a global, patient-dedicated biotechnology company focused on discovering, developing, and delivering high-quality medicines for people living with rare metabolic diseases. Position Summary Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans t…",2026-08-10
Data Analyst,Qrata,"Delhi, India",800000.0,1300000.0,"Job Title Data Analyst Job Brief The successful candidate will turn data into information, information into insight and insight into business decisions. Data Analyst Job Duties Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements. Responsibilities ● Interpret data, analyze results…",2026-08-10
Data Analyst,Aliqan Services,"Chennai, Tamil Nadu",,,"Data Analyst (6 years) Insurance domain for 3-4 Years Proficiency in data querying, reporting, and visualization tools Role: Other Industry Type: Insurance Department: Other Employment Type: Full Time, Permanent Role Category: Other Education UG: B.Tech/B.E. in Any Specialization Skills: Data Visualization, data reporting, Data Analyst Experience: 6.00-10.00 Years",2026-08-10
Data Analyst,Aliqan Services,"Gurgaon, Haryana",,,"Data Analyst (6 years) Insurance domain for 3-4 Years Proficiency in data querying, reporting, and visualization tools Role: Other Industry Type: Insurance Department: Other Employment Type: Full Time, Permanent Role Category: Other Education UG: B.Tech/B.E. in Any Specialization Skills: Data Visualization, data reporting, Data Analyst Experience: 6.00-10.00 Years",2026-08-10
Data Analyst,InTouch CX,"Hyderabad, Telangana",,,"About the Job We are looking for a Data Analyst who is a self-starter with the ability to work in a fast-paced, performance driven environment. The incumbent will be responsible for the analysis and reporting of operational related data in an on-going effort to increase visibility for program performance. As Data Analyst, You Will… Collect, analyze, evaluate and report data in order to increase visibility into performance for all lines of business within 24-7 Intouch Complete projects and ad-ho…",2026-08-10
Data Analyst,Fatakpay,India,800000.0,1500000.0,"Job Title : Data Analyst-Fintech Job Description : We are seeking a highly motivated and detail-oriented Data Analyst with 2 to 4 years of work experience to join our team. The ideal candidate will have a strong analytical mindset, excellent problem-solving skills, and a passion for transforming data into actionable insights. In this role, you will play a pivotal role in gathering, analyzing, and interpreting data to support informed decision-making and drive business growth. Key Responsibiliti…",2026-08-10
Data analyst,Cars24,"Pune, Maharashtra",,,"Job Description: We are seeking a talented and motivated Data Analyst to join our team. The ideal candidate will have a passion for data, a strong analytical mindset, and the ability to derive insights that drive business decisions. As a Data Analyst, you will be responsible for collecting, analyzing, and interpreting large datasets to provide actionable insights to various stakeholders across the organization. Key Responsibilities: Data Collection and Cleaning: Collect and clean data from vari…",2026-08-10
DATA ANALYST,Connect Pro Srl,"Ajmer, Rajasthan",,,"Posizione - Data Analyst Lavora con noi Data Analyst Id Richiesta: 1002 Sede: Milano Data Analyst È responsabile della raccolta, analisi e interpretazione dei dati aziendali per guidare decisioni strategiche e migliorare le performance. Ha il compito di trasformare dati complessi in insight utili per il business, collaborando con diversi dipartimenti per ottimizzare le attività aziendali. Responsabilità Principali Raccolta e analisi dei dati da diverse fonti aziendali. Creazione di report e das…",2026-08-10
Data Analyst,Credeau,"Maharashtra, India",,,"Job Description — Beginner Data Analyst Job Title Junior Data Analyst / Data Analyst Intern Location Mumbai / Remote / Hybrid Profile 1: Data Scientist Role Work on ML models, analytics, NLP, and data-driven products across financial services and compliance domains. Responsibilities Build and evaluate ML models Analyze data using SQL & Python Perform data cleaning, preprocessing, and feature engineering Work on NLP/LLM use cases Collaborate with product & engineering teams Skills Python, SQL, s…",2026-08-10
Data Analyst,Malaysian Global Innovation and Creativity Centre,India,500000.0,1000000.0,"MaGIC Technology and Product team is looking for a data analyst to help expand and improve data on startups, investors, and founders in the ASEAN region. As part of the data team on our Startup Database product, you will assist in maintaining the accuracy of information on startups and investors, and continuously update our repository with latest publicly available data on the same. The job offers a high degree of autonomy and will also see you playing a leading role in the analysis of the data…",2026-08-10
Data Analyst,Navrang HR Solutions,"Surat, Gujarat",,,"Job Description: Key Responsibilities  Assist in extracting, cleaning, and analyzing datasets using SQL and Python.  Develop and maintain dashboards and reports using Power BI, Looker Studio, or other BI tools.  Support the team in data validation, quality checks, and troubleshooting.  Collaborate with senior data analysts and business teams to understand requirements and deliver insights.  Perform exploratory data analysis (EDA) to identify trends, patterns, and anomalies.  Automate recu…",2026-08-10
Data Analyst,In Touch,"Hyderabad, Telangana",,,"About the Job Join us in transforming the perception of customer service! We are seeking a dedicated Data Analyst to analyze and report on operational data, enhancing program performance visibility. This role is vital in contributing to various projects and performing ad-hoc analyses, providing timely insights that support strategic decision-making. If you are passionate about data and eager to make a significant impact, we invite you to apply! As Data Analyst, You Will… Collect and organize la…",2026-08-10
Data Analyst,Techwave,India,,,"Techwave , we are always in an exercise to foster a culture of growth, and inclusivity. We ensure whoever is associated with the brand is being challenged at every step and is provided with all the necessary opportunities to excel in life. People are at the core of everything we do. Who are we? Techwave is a leading global IT and engineering services and solutions company revolutionizing digital transformations. We believe in enabling clients to maximize the potential and achieve a greater mark…",2026-08-10
Data Analyst,Namaste Credit,"Bangalore, Karnataka",500000.0,1000000.0,"About the Role The following Job Specification is intended to reflect the nature, range and context of the work. It identifies the main requirements of the job but is not an exhaustive list of duties. The Data Analyst role is a vital role as to be a sole point of contact responsible for closely working with various teams internally and closely working with the CTO. This role typically requires the resource to analyse the vast number of datasets and provide a meaningful impact and the result of …",2026-08-10
Data Analyst,Ness Digital Engineering,India,,,"Description Job Description – Data Analyst Role Purpose The Data Analyst will support assessment activities through data discovery, profiling, classification, documentation, and stakeholder engagement. The role serves as the bridge between business, architecture, governance, and technical teams. Job Summary The Data Analyst is responsible for identifying where sensitive data exists, understanding how it is used, documenting findings, supporting classification exercises, and validating recommend…",2026-08-10
Data Analyst,NAVVYASA CONSULTING PRIVATE LIMITED,India,,,"About the Role We are looking for a highly skilled Data Analyst or Data Scientist with strong expertise in Python and SQL to join our client’s team. The primary responsibility will be to automate data-driven workflows and processes based on detailed business steps provided by the Product and Business teams. The ideal candidate will bridge the gap between analytics, process understanding, and automation execution. Key Responsibilities ● Collaborate with the Business and Product teams to understa…",2026-08-10
Data Analyst,Whisk Software Private Limited,"Pune, Maharashtra",,,"Expert knowledge of one or more reporting platforms (Tableau, Business Objects, etc.) Expert in constructing and optimizing complex SQL queries across large volumes of data Expert knowledge of one or more data quality management platforms (Informatica IDQ / CDQ, Ataccama, Information Builders) and using that platform to conduct data discovery and analysis Strong analytical skills and an understanding of the appropriate statistical techniques to use under different circumstances Experience desig…",2026-08-10
Data Analyst,AVI-SPL India,"Mumbai, Maharashtra",,,"The Data Analyst supports the Global Multimedia Services Group (Video Production, Event Production, Technical Operations, and Executive Support) within the Operations function. This role is responsible for downloading weekly operational data, validating data integrity, cleaning and standardising datasets, and reconciling information across multiple internal systems. The Data Analyst partners with local and global stakeholders to resolve data issues and ensure that accurate, complete, and timely…",2026-08-10
Data Analyst,InTouch CX,"Hyderabad, Telangana",,,"About the Job We are revolutionizing the way people perceive customer service, and we require your assistance! We are currently seeking a Data Analyst who will be responsible for analyzing and reporting on operational data in an effort to enhance program performance visibility. This role will also contribute to various projects and perform ad-hoc analyses to provide timely information and support for strategic decision-making. As Data Analyst, You Will… Continuously monitor and evaluate data to…",2026-08-10
Data Analyst,Emotions for Business,"Ajmer, Rajasthan",,,"Chi è il Data Analyst? È un professionista dotato delle competenze necessarie ad analizzare e aggregare i dati, al fine di studiare, ad esempio, l’andamento di un determinato prodotto e consentire, così, all’azienda di progettare i propri modelli di business in modo prospettico, con creazione di un vantaggio competitivo sul mercato. Il Data Analyst possiede competenze trasversali, che possono essere non solo tecniche ma anche statistiche, gestionali e di comunicazione. Tra le principali attivit…",2026-08-10
Data Analyst,Intelliatx Therapeutics,"Bangalore, Karnataka",,,"Data Analyst – Job Decription Connecting people with each other and the right information is mission critical. Our Company develops innovative cloud-based technology to make it easier, more effective and more efficient to make the right connections. Our solutions put people in sync with each other and the right information, so they gain the insight needed to reach better decisions on the issues that matter most. We do it with a laser focus on reliability. The Company is a leading provider of te…",2026-08-10
Data Analyst,Reality Premedia Services Pvt Ltd,"Pune, Maharashtra",0.0,800000.0,"We at Reality Premedia pvt ltd is looking for Data Analyst for Pune location. Must have experience in BFSC domain. Exp- Min 3yrs Location- Pune Mandatory Skills- Exp in powerBI/Tableau, SQL Basic Python Skills:- Tableau, PowerBI and Data Analytics",2026-08-10
Data Analyst,Equitas Small Finance Bank,India,,,"We are looking for a detail-oriented and analytical Data Analyst to join our team. In this role, you will collect, clean, and interpret complex datasets to help leadership and cross-functional teams understand market trends, optimize operations, and solve business challenges. [ 1 , 2 , 3 ]",2026-08-10
Data Analyst,RegisterKaro,India,400000.0,1000000.0,"Job Description: Data Analyst Position: Data Analyst Location: Gurgaon Experience Level: 1-3 Years Employment Type: Full-Time Role Overview We are looking for a results-driven Data Analyst to join our team and support business decision-making through data insights and analytics. The ideal candidate will be highly proficient in Python, skilled in data visualization tools, and experienced in solving complex problems to drive measurable business outcomes such as revenue growth or cost reduction. K…",2026-08-10
Data Analyst,Concentrix,India,,,"Job Title: Data Analyst Job Description Concentrix is a technology-enabled global business services company specializing in customer engagement and improving business performance. We partner with ambitious, progressive executives around the world to future-proof their business and stay ahead of the competition and customer expectations. Role and Key Responsibilities: As a Data Analyst within Concentrix ANZ's offshore analytics team, you will support Australian clients by delivering performance …",2026-08-10
Data Analyst,Sagility,India,,,"Sagility combines industry-leading technology and transformation-driven BPM services with decades of healthcare domain expertise to help clients draw closer to their members. The company optimizes the entire member/patient experience through service offerings for clinical, case management, member engagement, provider solutions, payment integrity, claims cost containment, and analytics. Sagility has more than 25,000 employees across 5 countries. ""To conduct data analysis, provide insights, and c…",2026-08-10
Data Analyst,Ecolab,India,,,"At Ecolab, you can help take on some of the world’s most meaningful challenges, delivering critical insights and innovative solutions to help our customers achieve clean water, safe food, abundant energy and healthy environments. With our worldwide reach and ambitious growth plans, you will have the opportunity to own your future and impact what matters. Are you ready to make an impact? Ecolab is searching for a driven Data Analyst for our Enterprise Growth Operations Team in Pune, India . The …",2026-08-10
Data Analyst,Indium Software,India,250000.0,800000.0,"The Data Analyst in the CoE will provide end to end solution development, working in conjunction with the Domain Leads and Technology Partners. He is responsible for the delivery of solutions and solution changes which are driven by the business requirements as well as providing technical and development capabilities. Knowledge Skills:- Apache Synapse, SQL, SAP MDG ( Master Data Governance), Python and Data Analytics",2026-08-10
Data Analyst,EWU,"Coimbatore, Tamil Nadu",400000.0,700000.0,"We’re seeking a detail-oriented Data Analyst with proven experience in corporate settings to transform raw data into actionable insights. You’ll collaborate across departments to support strategic decision-making, optimize operations, and enhance business performance through data-driven analysis. Skills:- PowerBI, Tableau, Data Analytics, Dashboard, MS-Office, Data Visualization and Advanced analytics",2026-08-10
Data Analyst,Milestone Online Technology,"Ahmedabad, Gujarat",,,"Job description Need Data Analysts with good understanding of Python (pandas), Excel, tools like Tableau and Power BI. BTech (CS/IT/EC/EE), MBA, MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should know Data Analytics. Skills: Power Bi, Sql, Python Experience: 0.00-1.00 Years",2026-08-10
Data Analyst,Milestone Online Technology,"Bangalore, Karnataka",,,"Job description Need Data Analysts with good understanding of Python (pandas), Excel, tools like Tableau and Power BI. BTech (CS/IT/EC/EE), MBA, MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should know Data Analytics. Skills: Power Bi, Sql, Python Experience: 0.00-1.00 Years",2026-08-10
Data Analyst,Milestone Online Technology,"Gurgaon, Haryana",,,"Job description Need Data Analysts with good understanding of Python (pandas), Excel, tools like Tableau and Power BI. BTech (CS/IT/EC/EE), MBA, MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should know Data Analytics. Skills: Power Bi, Sql, Python Experience: 0.00-1.00 Years",2026-08-10
Data Analyst,Milestone Online Technology,"Lucknow, Uttar Pradesh",,,"Job description Need Data Analysts with good understanding of Python (pandas), Excel, tools like Tableau and Power BI. BTech (CS/IT/EC/EE), MBA, MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should know Data Analytics. Skills: Power Bi, Sql, Python Experience: 0.00-1.00 Years",2026-08-10
Data Analyst,Milestone Online Technology,"Patna, Bihar",,,"Job description Need Data Analysts with good understanding of Python (pandas), Excel, tools like Tableau and Power BI. BTech (CS/IT/EC/EE), MBA, MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should know Data Analytics. Skills: Power Bi, Sql, Python Experience: 0.00-1.00 Years",2026-08-10
Data Analyst,Milestone Online Technology,"Kolkata, West Bengal",,,"Job description Need Data Analysts with good understanding of Python (pandas), Excel, tools like Tableau and Power BI. BTech (CS/IT/EC/EE), MBA, MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should know Data Analytics. Skills: Power Bi, Sql, Python Experience: 0.00-1.00 Years",2026-08-10
data analyst,Epik Solutions,India,50000.0,700000.0,"Job Title: Data Analyst Location: Permanent Work from Home Job Type: Full-Time Job Description: We are seeking a highly motivated and skilled Data Analyst to join our team. The ideal candidate will have a strong background in data analysis, incident management, and real-time data reporting. The role demands exceptional communication skills, both written and spoken, as well as the ability to work flexible shifts to support our global operations. Key Responsibilities: - Perform data analysis to i…",2026-08-10
Data Analyst,Multi Recruit,"Bangalore, Karnataka",1200000.0,1400000.0,"We are looking for a Business Intelligence (BI)/Data Analyst to create and manage Power Bl and analytics solutions that turn data into knowledge. In this role, you should have a background in data and business analysis. If you are self-directed, passionate about data, and have business acumen and problem-solving aptitude, we'd like to meet you. Ultimately, you will enhance our business intelligence system to help us make better decisions. Requirements and Qualifications BSc/BA in Computer Scien…",2026-08-10
Data Analyst,Beworld web services,"Telangana, India",,,"We are looking for a detail-oriented and proactive Data Analyst with around 1 year of experience in a consumer app or product-based environment. The ideal candidate should have strong analytical skills, hands-on experience with SQL and MongoDB, and the ability to work closely with cross-functional teams to drive data-informed decisions. Key Responsibilities Analyze user behavior, product performance, and business metrics for consumer applications. Write efficient SQL queries to extract, transfo…",2026-08-10
Data Analyst,"NTT America, Inc.","Pune, Maharashtra",,,"Req ID: 376714 NTT DATA strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Data Analyst to join our team in Pune, Maharashtra (IN-MH), India (IN). Data Analyst (10 Years Experience) - BFSI Sector Job Title Senior Data Analyst / Lead Data Analyst - BFSI (Banking, Financial Services & Insurance) Job Summary We are seeking an experien…",2026-08-10
Data Analyst,MSMEx,"Mumbai, Maharashtra",0.0,1200000.0,We are looking for a Data Analyst that oversees organisational data analytics. This will require you to design and help implement the data analytics platform that will keep the organisation running. The team will be the go-to for all data needs for the app and we are looking for a self-starter who is hands on and yet able to abstract problems and anticipate data requirements. This person should be very strong technical data analyst who can design and implement data systems on his own. Along wit…,2026-08-10
Data Analyst,Syrencloud,"Hyderabad, Telangana",0.0,800000.0,"Our growing technology firm is looking for an experienced Data Analyst who is able to turn project requirements into custom-formatted data reports. The ideal candidate for this position is able to do complete life cycle data generation and outline critical information for each Project Manager. We also need someone who is able to analyze business procedures and recommend specific types of data that can be used to improve upon them. Skills:- SQL, SAP and Data Analytics",2026-08-10
Data Analyst,RECEX,"Delhi, India",,,"Job Description: We are seeking a skilled Data Analyst with expertise in Power BI to design and maintain interactive dashboards, analyze complex datasets, and deliver actionable insights. The ideal candidate will have experience in data visualization, report creation, and performance analysis. Strong proficiency in Power BI, SQL, and Excel is essential. The role requires excellent problem-solving abilities, attention to detail, and effective communication to present data findings to stakeholder…",2026-08-10
Data Analyst,Kotak Life,"Gurgaon, Haryana",,,"Job Description- Job Summary: We are seeking a detail-oriented Data Analyst with expertise in SAS and VBA. The ideal candidate will possess strong skills in SQL, DataSteps, and dashboard creation to support our data-driven decision-making process. This role involves completing ad hoc data requests and ensuring effective data management using databases. Key Responsibilities: • Utilize SAS for data analysis and MIS reporting. • Manage and produce daily, weekly, and monthly MIS reports to track ke…",2026-08-10
Data Analyst,Fragma Data Systems,India,600000.0,800000.0,"Good grasp and hands-on exposure to SQL, Hive. Good to have- Azure cloud, Spark sql. 1. Will be the point of contact for reporting/data management needs and will be responsible to drive complex data analysis and propose improvement opportunities in existing tools and reports. 2. The Data Analyst will be responsible to establish best practices in data management, data visualization, and report distribution. 3. Understanding requirements and converting into technical and business delivers. 4. Lev…",2026-08-10
Data Analyst,,"Vadodara, Gujarat",,,"We are Hiring for ( Data Analyst ) ( Desired Candidate Profile: Checking ) Analysis and entering data in databases working in a Emergency Control Room and working on Logistics Portal Interface and GPS, Good Communication skill (Hindi & English) Employee Condition:- · Job Location is Vadodara · Girls only work in ‘A’ and ‘B’ Shift · Bond Period is 1 Years and breach to which is strictly not allowed. Special Request / Permissions shall be reviewed for by higher management is case of relieving · R…",2026-08-10
Data Analyst,Mantras2Success,"Ahmedabad, Gujarat",,,"Job Description: We are seeking a highly motivated Data Analyst to join our team. The successful candidate will be responsible for collecting, analysing, and interpreting data to help drive strategic and operational decisions across the business. This role involves working closely with teams across Sales, Marketing, Finance, and Operations to deliver actionable insights that improve business performance and efficiency. Key Responsibilities • Extract, clean, and analyse data from our booking sys…",2026-08-10
Data analyst,Sadup Softech,"Bangalore, Karnataka",1200000.0,1500000.0,"Must have skills 3 to 6 years Data Science SQL, Excel, Big Query - mandate 3 years Python/ML, Hadoop, Spark - 2 years Requirements • 3 years prior experience as a data analyst • Detail oriented, structural thinking and analytical mindset. • Proven analytic skills, including data analysis and data validation. • Technical writing experience in relevant areas, including queries, reports, and presentations. • Strong SQL and Excel skills with the ability to learn other analytic tools • Good communic…",2026-08-10
Data Analyst,Jetking Technologies Private Limited,"Noida, Ghaziabad",20000.0,25000.0,"Job Description– Data Analyst Qualification: Bachelor's degree in Computer Science, Statistics, Mathematics, or related field Location: Noida sector 127 Experience: • 1–3 years • Proficiency in MS Excel (pivot tables, VLOOKUP, formulas) • Basicknowledge of SQLfor data querying • Familiarity with data visualization tools (Power BI/Tableau)– preferred • Stronganalytical and problem-solving skills • Goodcommunicationskills Roles and Responsibilities: • Collect, clean, and organize data from multip…",2026-08-10
