title,company,location,salary_min,salary_max,description,role_category
Data Analyst,Emotions for Business,"Ajmer, Rajasthan",,,"Chi è il Data Analyst? È un professionista dotato delle competenze necessarie ad analizzare e aggregare i dati, al fine di studiare, ad esempio, l’andamento di un determinato prodotto e consentire, così, all’azienda di progettare i propri modelli di business in modo prospettico, con creazione di un vantaggio competitivo sul mercato. Il Data Analyst possiede competenze trasversali, che possono essere non solo tecniche ma anche statistiche, gestionali e di comunicazione. Tra le principali attivit…",data analyst
Data Analyst,Intelliatx Therapeutics,"Bangalore, Karnataka",,,"Data Analyst – Job Decription Connecting people with each other and the right information is mission critical. Our Company develops innovative cloud-based technology to make it easier, more effective and more efficient to make the right connections. Our solutions put people in sync with each other and the right information, so they gain the insight needed to reach better decisions on the issues that matter most. We do it with a laser focus on reliability. The Company is a leading provider of te…",data analyst
Data Analyst,Reality Premedia Services Pvt Ltd,"Pune, Maharashtra",0.0,800000.0,"We at Reality Premedia pvt ltd is looking for Data Analyst for Pune location. Must have experience in BFSC domain. Exp- Min 3yrs Location- Pune Mandatory Skills- Exp in powerBI/Tableau, SQL Basic Python Skills:- Tableau, PowerBI and Data Analytics",data analyst
Data Analyst,Equitas Small Finance Bank,India,,,"We are looking for a detail-oriented and analytical Data Analyst to join our team. In this role, you will collect, clean, and interpret complex datasets to help leadership and cross-functional teams understand market trends, optimize operations, and solve business challenges. [ 1 , 2 , 3 ]",data analyst
Data Analyst,RegisterKaro,India,400000.0,1000000.0,"Job Description: Data Analyst Position: Data Analyst Location: Gurgaon Experience Level: 1-3 Years Employment Type: Full-Time Role Overview We are looking for a results-driven Data Analyst to join our team and support business decision-making through data insights and analytics. The ideal candidate will be highly proficient in Python, skilled in data visualization tools, and experienced in solving complex problems to drive measurable business outcomes such as revenue growth or cost reduction. K…",data analyst
Data Analyst,Concentrix,India,,,"Job Title: Data Analyst Job Description Concentrix is a technology-enabled global business services company specializing in customer engagement and improving business performance. We partner with ambitious, progressive executives around the world to future-proof their business and stay ahead of the competition and customer expectations. Role and Key Responsibilities: As a Data Analyst within Concentrix ANZ's offshore analytics team, you will support Australian clients by delivering performance …",data analyst
Data Analyst,Sagility,India,,,"Sagility combines industry-leading technology and transformation-driven BPM services with decades of healthcare domain expertise to help clients draw closer to their members. The company optimizes the entire member/patient experience through service offerings for clinical, case management, member engagement, provider solutions, payment integrity, claims cost containment, and analytics. Sagility has more than 25,000 employees across 5 countries. ""To conduct data analysis, provide insights, and c…",data analyst
Data Analyst,Ecolab,India,,,"At Ecolab, you can help take on some of the world’s most meaningful challenges, delivering critical insights and innovative solutions to help our customers achieve clean water, safe food, abundant energy and healthy environments. With our worldwide reach and ambitious growth plans, you will have the opportunity to own your future and impact what matters. Are you ready to make an impact? Ecolab is searching for a driven Data Analyst for our Enterprise Growth Operations Team in Pune, India . The …",data analyst
Data Analyst,Indium Software,India,250000.0,800000.0,"The Data Analyst in the CoE will provide end to end solution development, working in conjunction with the Domain Leads and Technology Partners. He is responsible for the delivery of solutions and solution changes which are driven by the business requirements as well as providing technical and development capabilities. Knowledge Skills:- Apache Synapse, SQL, SAP MDG ( Master Data Governance), Python and Data Analytics",data analyst
Data Analyst,EWU,"Coimbatore, Tamil Nadu",400000.0,700000.0,"We’re seeking a detail-oriented Data Analyst with proven experience in corporate settings to transform raw data into actionable insights. You’ll collaborate across departments to support strategic decision-making, optimize operations, and enhance business performance through data-driven analysis. Skills:- PowerBI, Tableau, Data Analytics, Dashboard, MS-Office, Data Visualization and Advanced analytics",data analyst
Data Analyst,Milestone Online Technology,"Ahmedabad, Gujarat",,,"Job description Need Data Analysts with good understanding of Python (pandas), Excel, tools like Tableau and Power BI. BTech (CS/IT/EC/EE), MBA, MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should know Data Analytics. Skills: Power Bi, Sql, Python Experience: 0.00-1.00 Years",data analyst
Data Analyst,Milestone Online Technology,"Bangalore, Karnataka",,,"Job description Need Data Analysts with good understanding of Python (pandas), Excel, tools like Tableau and Power BI. BTech (CS/IT/EC/EE), MBA, MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should know Data Analytics. Skills: Power Bi, Sql, Python Experience: 0.00-1.00 Years",data analyst
Data Analyst,Milestone Online Technology,"Gurgaon, Haryana",,,"Job description Need Data Analysts with good understanding of Python (pandas), Excel, tools like Tableau and Power BI. BTech (CS/IT/EC/EE), MBA, MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should know Data Analytics. Skills: Power Bi, Sql, Python Experience: 0.00-1.00 Years",data analyst
Data Analyst,Milestone Online Technology,"Lucknow, Uttar Pradesh",,,"Job description Need Data Analysts with good understanding of Python (pandas), Excel, tools like Tableau and Power BI. BTech (CS/IT/EC/EE), MBA, MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should know Data Analytics. Skills: Power Bi, Sql, Python Experience: 0.00-1.00 Years",data analyst
Data Analyst,Milestone Online Technology,"Patna, Bihar",,,"Job description Need Data Analysts with good understanding of Python (pandas), Excel, tools like Tableau and Power BI. BTech (CS/IT/EC/EE), MBA, MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should know Data Analytics. Skills: Power Bi, Sql, Python Experience: 0.00-1.00 Years",data analyst
Data Analyst,Milestone Online Technology,"Kolkata, West Bengal",,,"Job description Need Data Analysts with good understanding of Python (pandas), Excel, tools like Tableau and Power BI. BTech (CS/IT/EC/EE), MBA, MTech, MCA, BCA, BSc, MSc freshers from 2024, 2023, 2022, 2021 should apply. Candidate should know Data Analytics. Skills: Power Bi, Sql, Python Experience: 0.00-1.00 Years",data analyst
data analyst,Epik Solutions,India,50000.0,700000.0,"Job Title: Data Analyst Location: Permanent Work from Home Job Type: Full-Time Job Description: We are seeking a highly motivated and skilled Data Analyst to join our team. The ideal candidate will have a strong background in data analysis, incident management, and real-time data reporting. The role demands exceptional communication skills, both written and spoken, as well as the ability to work flexible shifts to support our global operations. Key Responsibilities: - Perform data analysis to i…",data analyst
Data Analyst,Multi Recruit,"Bangalore, Karnataka",1200000.0,1400000.0,"We are looking for a Business Intelligence (BI)/Data Analyst to create and manage Power Bl and analytics solutions that turn data into knowledge. In this role, you should have a background in data and business analysis. If you are self-directed, passionate about data, and have business acumen and problem-solving aptitude, we'd like to meet you. Ultimately, you will enhance our business intelligence system to help us make better decisions. Requirements and Qualifications BSc/BA in Computer Scien…",data analyst
Data Analyst,Beworld web services,"Telangana, India",,,"We are looking for a detail-oriented and proactive Data Analyst with around 1 year of experience in a consumer app or product-based environment. The ideal candidate should have strong analytical skills, hands-on experience with SQL and MongoDB, and the ability to work closely with cross-functional teams to drive data-informed decisions. Key Responsibilities Analyze user behavior, product performance, and business metrics for consumer applications. Write efficient SQL queries to extract, transfo…",data analyst
Data Analyst,"NTT America, Inc.","Pune, Maharashtra",,,"Req ID: 376714 NTT DATA strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Data Analyst to join our team in Pune, Maharashtra (IN-MH), India (IN). Data Analyst (10 Years Experience) - BFSI Sector Job Title Senior Data Analyst / Lead Data Analyst - BFSI (Banking, Financial Services & Insurance) Job Summary We are seeking an experien…",data analyst
Data Analyst,MSMEx,"Mumbai, Maharashtra",0.0,1200000.0,We are looking for a Data Analyst that oversees organisational data analytics. This will require you to design and help implement the data analytics platform that will keep the organisation running. The team will be the go-to for all data needs for the app and we are looking for a self-starter who is hands on and yet able to abstract problems and anticipate data requirements. This person should be very strong technical data analyst who can design and implement data systems on his own. Along wit…,data analyst
Data Analyst,Syrencloud,"Hyderabad, Telangana",0.0,800000.0,"Our growing technology firm is looking for an experienced Data Analyst who is able to turn project requirements into custom-formatted data reports. The ideal candidate for this position is able to do complete life cycle data generation and outline critical information for each Project Manager. We also need someone who is able to analyze business procedures and recommend specific types of data that can be used to improve upon them. Skills:- SQL, SAP and Data Analytics",data analyst
Data Analyst,RECEX,"Delhi, India",,,"Job Description: We are seeking a skilled Data Analyst with expertise in Power BI to design and maintain interactive dashboards, analyze complex datasets, and deliver actionable insights. The ideal candidate will have experience in data visualization, report creation, and performance analysis. Strong proficiency in Power BI, SQL, and Excel is essential. The role requires excellent problem-solving abilities, attention to detail, and effective communication to present data findings to stakeholder…",data analyst
Data Analyst,Kotak Life,"Gurgaon, Haryana",,,"Job Description- Job Summary: We are seeking a detail-oriented Data Analyst with expertise in SAS and VBA. The ideal candidate will possess strong skills in SQL, DataSteps, and dashboard creation to support our data-driven decision-making process. This role involves completing ad hoc data requests and ensuring effective data management using databases. Key Responsibilities: • Utilize SAS for data analysis and MIS reporting. • Manage and produce daily, weekly, and monthly MIS reports to track ke…",data analyst
Data Analyst,Fragma Data Systems,India,600000.0,800000.0,"Good grasp and hands-on exposure to SQL, Hive. Good to have- Azure cloud, Spark sql. 1. Will be the point of contact for reporting/data management needs and will be responsible to drive complex data analysis and propose improvement opportunities in existing tools and reports. 2. The Data Analyst will be responsible to establish best practices in data management, data visualization, and report distribution. 3. Understanding requirements and converting into technical and business delivers. 4. Lev…",data analyst
Data Analyst,,"Vadodara, Gujarat",,,"We are Hiring for ( Data Analyst ) ( Desired Candidate Profile: Checking ) Analysis and entering data in databases working in a Emergency Control Room and working on Logistics Portal Interface and GPS, Good Communication skill (Hindi & English) Employee Condition:- · Job Location is Vadodara · Girls only work in ‘A’ and ‘B’ Shift · Bond Period is 1 Years and breach to which is strictly not allowed. Special Request / Permissions shall be reviewed for by higher management is case of relieving · R…",data analyst
Data Analyst,Mantras2Success,"Ahmedabad, Gujarat",,,"Job Description: We are seeking a highly motivated Data Analyst to join our team. The successful candidate will be responsible for collecting, analysing, and interpreting data to help drive strategic and operational decisions across the business. This role involves working closely with teams across Sales, Marketing, Finance, and Operations to deliver actionable insights that improve business performance and efficiency. Key Responsibilities • Extract, clean, and analyse data from our booking sys…",data analyst
Data analyst,Sadup Softech,"Bangalore, Karnataka",1200000.0,1500000.0,"Must have skills 3 to 6 years Data Science SQL, Excel, Big Query - mandate 3 years Python/ML, Hadoop, Spark - 2 years Requirements • 3 years prior experience as a data analyst • Detail oriented, structural thinking and analytical mindset. • Proven analytic skills, including data analysis and data validation. • Technical writing experience in relevant areas, including queries, reports, and presentations. • Strong SQL and Excel skills with the ability to learn other analytic tools • Good communic…",data analyst
Data Analyst,Jetking Technologies Private Limited,"Noida, Ghaziabad",20000.0,25000.0,"Job Description– Data Analyst Qualification: Bachelor's degree in Computer Science, Statistics, Mathematics, or related field Location: Noida sector 127 Experience: • 1–3 years • Proficiency in MS Excel (pivot tables, VLOOKUP, formulas) • Basicknowledge of SQLfor data querying • Familiarity with data visualization tools (Power BI/Tableau)– preferred • Stronganalytical and problem-solving skills • Goodcommunicationskills Roles and Responsibilities: • Collect, clean, and organize data from multip…",data analyst
