,Name,Rating,Reviews,About_Locations,Avg_salary,TotalJobs
108,Udaan,3.9,(5.7k),Internet | Bengaluru +367 other locations,15.7k,11
109,GlobalLogic,3.5,(5.7k),IT Services & Consulting | Hyderabad +60 other locations,41k,41
110,Manappuram Finance,3.9,(5.7k),NBFC | Bengaluru +657 other locations,9.1k,7
111,Firstsource Solutions,3.5,(5.7k),BPO | Bengaluru +74 other locations,24.6k,140
112,ICICI Lombard General Insurance Company,3.5,(5.7k),Insurance | Mumbai +316 other locations,20.3k,164
113,Tata Capital,4.0,(5.7k),NBFC | Mumbai +446 other locations,16k,4.3k
114,Shapoorji Pallonji Group,4.1,(5.6k),Engineering & Construction | Mumbai +190 other locations,15.4k,72
115,Standard Chartered,3.6,(5.6k),Banking | Chennai +67 other locations,41.9k,--
116,UST,3.7,(5.6k),IT Services & Consulting | Bengaluru +51 other locations,39.8k,170
117,Apollo Hospitals,4.1,(5.6k),Healthcare | Chennai +228 other locations,16.8k,136
118,Mahindra Finance,3.9,(5.6k),NBFC | Mumbai +734 other locations,12k,497
119,Bosch Global Software Technologies,3.7,(5.5k),IT Services & Consulting | Bengaluru +47 other locations,40.5k,20
120,Ashok Leyland,4.0,(5.5k),Automobile | Chennai +266 other locations,18.7k,2
121,Swiggy,3.7,(5.5k),Internet | Bengaluru +233 other locations,23.3k,213
122,Citicorp,3.7,(5.4k),Financial Services | Pune +68 other locations,53k,--
123,Hero MotoCorp,4.1,(5.4k),Automobile | Gurugram +369 other locations,16k,1
124,CGI Group,4.0,(5.3k),IT Services & Consulting | Bengaluru +43 other locations,46.1k,908
125,Cyient,3.6,(5.3k),IT Services & Consulting | Hyderabad +49 other locations,27.7k,91
126,SBI Cards & Payment Services,3.6,(5.2k),Financial Services | Gurugram +443 other locations,16.1k,61
127,BNY,3.6,(5.2k),Financial Services | Pune +26 other locations,31.3k,7
128,Kalpataru Projects International,4.2,(5.2k),Engineering & Construction | Mumbai +323 other locations,14k,4
129,IQVIA,3.7,(5.1k),Clinical Research | Bengaluru +66 other locations,30.9k,37
130,NTT DATA,3.8,(5.1k),IT Services & Consulting | Bengaluru +81 other locations,36.4k,107
131,JustDial,3.5,(5.1k),Internet | Noida +231 other locations,15.3k,62
132,Nagarjuna Construction Company,4.0,(5.1k),Engineering & Construction | Hyderabad +298 other locations,12.3k,12
133,SBI Life Insurance Company,3.7,(5k),Insurance | Mumbai +657 other locations,12k,4
134,Schneider Electric,4.1,(5k),Industrial Automation | Bengaluru +119 other locations,24.9k,105
135,CBRE,4.1,(5k),Real Estate | Hyderabad +91 other locations,18.8k,191
136,TVS Motor,3.9,(5k),Automobile | Hosur +352 other locations,16k,68
137,Persistent Systems,3.6,(5k),IT Services & Consulting | Pune +41 other locations,45.4k,361
138,State Bank of India,3.8,(4.9k),Banking | Mumbai +620 other locations,11.7k,10
